# PV Battery SOFC TANK energy_deficit Energy_loss System_cost CF
-1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.096485087676219791e+03 1.421014257322336221e+02 7.308000000000000000e+04 1.045272763151433028e+05
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.549553801696902383e+03 1.815443704976682056e+03 7.836000000000000000e+04 1.016033070254535414e+05
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.301218821355284263e+03 3.902450652502774574e+03 8.364000000000000000e+04 1.031582823203292646e+05
-1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.036667434348866891e+03 1.475234934685009875e+02 8.508000000000000000e+04 1.156300115152329963e+05
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.486612878225498662e+03 1.885627867321135000e+03 9.036000000000000000e+04 1.126591931733824749e+05
1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.222266447260230734e+03 3.996260515873347686e+03 9.564000000000000000e+04 1.139739967089034617e+05
-1.000000000000000000e+00 -1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.010125009519434116e+03 1.790436420589776674e+02 8.628000000000000000e+04 1.164318751427915122e+05
0.000000000000000000e+00 -1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.459494043095099869e+03 1.925609897432577782e+03 9.156000000000000000e+04 1.134524106464264914e+05
1.000000000000000000e+00 -1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.176417583832061382e+03 4.015643528985134708e+03 9.684000000000000000e+04 1.144862637574809196e+05
-1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.993670581372601191e+03 2.064682092326407883e+02 9.828000000000000000e+04 1.281850587205890188e+05
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.432379725643776965e+03 1.978701606009068882e+03 1.035600000000000000e+05 1.250456958846566558e+05
1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.155393458315830685e+03 4.088573366542829717e+03 1.088400000000000000e+05 1.261709018747374648e+05
-1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.957172410920104312e+03 2.099390034095783619e+02 1.102800000000000000e+05 1.396375861638015485e+05
0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.402504025220311405e+03 2.047290589551867470e+03 1.155600000000000000e+05 1.365975603783046827e+05
